INSERT INTO lives_in VALUES
('6786 Hickory Terrace', '3226899243', '1986-6-8', '2024-4-14', 'Primary'),
('0491 Magnolia Boulevard', '0749853577', '2018-7-25', '2021-7-24', 'Secondary'),
('8862 Oak Way', '4272350973', '2015-2-4', '2019-5-2', 'Secondary'),
('0355 Cedar Road', '0099940252', '2018-10-10', '2019-8-4', 'Secondary'),
('6812 Cedar Boulevard', '5759890272', '2018-11-8', '2019-10-18', 'Secondary'),
('8862 Oak Way', '6594151504', '2021-2-26', '2022-9-3', 'Secondary'),
('0355 Cedar Road', '7338049474', '2020-1-21', '2021-11-25', 'Secondary'),
('8862 Oak Way', '0750597054', '2018-3-4', '2022-1-11', 'Secondary'),
('0491 Magnolia Boulevard', '4238359081', '2018-4-15', '2021-11-15', 'Secondary'),
('6812 Cedar Boulevard', '5759890272', '2022-5-20', '2023-2-6', 'Secondary'),
('0491 Magnolia Boulevard', '0750597054', '2022-8-1', '2022-10-25', 'Secondary'),
('6812 Cedar Boulevard', '6594151504', '2017-3-6', '2021-8-4', 'Secondary'),
('6812 Cedar Boulevard', '3602943291', '2023-10-23', '2023-11-9', 'Secondary'),
('6812 Cedar Boulevard', '7291398414', '2023-3-5', '2023-7-19', 'Secondary'),
('0355 Cedar Road', '6389299106', '2019-5-27', '2020-9-19', 'Secondary'),
('0355 Cedar Road', '7445789099', '2019-10-18', '2020-7-17', 'Secondary'),
('0355 Cedar Road', '9551555117', '2021-6-11', '2022-5-15', 'Secondary'),
('0491 Magnolia Boulevard', '4292520511', '2021-10-26', '2023-10-3', 'Secondary'),
('6812 Cedar Boulevard', '7445789099', '2021-5-21', '2022-7-1', 'Secondary'),
('0491 Magnolia Boulevard', '8927500434', '2017-9-13', '2018-3-9', 'Secondary'),
('6812 Cedar Boulevard', '4272350973', '2017-5-8', '2020-5-27', 'Secondary'),
('8862 Oak Way', '9747142077', '2023-11-27', '2023-11-27', 'Secondary'),
('6812 Cedar Boulevard', '0749853577', '2020-6-18', '2023-9-15', 'Secondary'),
('0355 Cedar Road', '7492259993', '2018-2-9', '2022-6-7', 'Secondary'),
('0355 Cedar Road', '1934521120', '2015-9-3', '2022-8-20', 'Secondary'),
('0355 Cedar Road', '1360332957', '2019-4-20', '2022-7-14', 'Secondary'),
('8862 Oak Way', '3718413995', '2015-4-7', '2018-11-2', 'Secondary'),
('8862 Oak Way', '4897582875', '2016-8-1', '2023-8-6', 'Secondary'),
('0355 Cedar Road', '6594151504', '2023-7-12', '2023-9-17', 'Secondary'),
('6812 Cedar Boulevard', '7445789099', '2020-1-25', '2022-10-3', 'Secondary'),
('0355 Cedar Road', '0099940252', '2017-2-21', '2021-6-27', 'Secondary'),
('6812 Cedar Boulevard', '7338049474', '2021-6-14', '2023-8-23', 'Secondary'),
('0355 Cedar Road', '8794558607', '2018-5-10', '2022-1-23', 'Secondary'),
('0491 Magnolia Boulevard', '8724761387', '2019-6-8', '2021-5-17', 'Secondary'),
('0355 Cedar Road', '0749853577', '2015-11-17', '2021-6-14', 'Secondary'),
('8862 Oak Way', '1360332957', '2018-5-24', '2023-10-11', 'Secondary'),
('8862 Oak Way', '5727257617', '2021-6-25', '2023-2-25', 'Secondary'),
('0491 Magnolia Boulevard', '9658738337', '2021-5-19', '2021-10-19', 'Secondary'),
('8862 Oak Way', '8794558607', '2019-11-1', '2020-7-27', 'Secondary'),
('0355 Cedar Road', '3329939376', '2017-8-20', '2022-10-18', 'Secondary'),
('6812 Cedar Boulevard', '7338049474', '2021-6-6', '2022-11-25', 'Secondary'),
('6812 Cedar Boulevard', '4292520511', '2019-5-6', '2022-5-5', 'Secondary'),
('0491 Magnolia Boulevard', '0099940252', '2019-7-23', '2020-6-22', 'Secondary'),
('0491 Magnolia Boulevard', '2269563775', '2020-5-6', '2020-11-19', 'Secondary'),
('0491 Magnolia Boulevard', '2522724683', '2020-10-2', '2022-6-9', 'Secondary'),
('6812 Cedar Boulevard', '4272350973', '2019-11-26', '2021-1-22', 'Secondary'),
('0355 Cedar Road', '0749853577', '2015-6-8', '2018-8-9', 'Secondary'),
('8862 Oak Way', '5727257617', '2016-10-9', '2022-4-15', 'Secondary'),
('0355 Cedar Road', '5759890272', '2017-6-26', '2023-9-2', 'Secondary'),
('0491 Magnolia Boulevard', '4272350973', '2015-3-6', '2019-6-26', 'Secondary'),
('0491 Magnolia Boulevard', '9747142077', '2016-8-24', '2019-8-16', 'Secondary'),
('6812 Cedar Boulevard', '7338049474', '2022-4-4', '2022-8-20', 'Secondary'),
('6812 Cedar Boulevard', '3007883041', '2021-6-1', '2021-7-12', 'Secondary'),
('6812 Cedar Boulevard', '1360332957', '2018-2-3', '2018-10-21', 'Secondary'),
('0491 Magnolia Boulevard', '4897582875', '2017-3-12', '2019-5-5', 'Secondary'),
('8862 Oak Way', '7069423377', '2020-1-23', '2020-8-7', 'Secondary'),
('0355 Cedar Road', '7291398414', '2023-3-15', '2023-8-21', 'Secondary'),
('8862 Oak Way', '8724761387', '2017-10-23', '2018-3-3', 'Secondary'),
('6812 Cedar Boulevard', '3718413995', '2018-11-22', '2019-1-12', 'Secondary'),
('0355 Cedar Road', '8794558607', '2015-4-10', '2017-4-21', 'Secondary'),
('0491 Magnolia Boulevard', '7492259993', '2023-9-27', '2023-11-18', 'Secondary'),
('0355 Cedar Road', '5759890272', '2015-8-24', '2017-1-19', 'Secondary'),
('8862 Oak Way', '8724761387', '2017-10-13', '2020-3-12', 'Secondary'),
('0355 Cedar Road', '7492259993', '2023-1-11', '2023-2-12', 'Secondary'),
('0355 Cedar Road', '7291398414', '2022-8-2', '2022-10-25', 'Secondary');

INSERT INTO lives_in VALUES
('2982 Hickory Way', '6551792639', '1975-10-16', '2024-4-14', 'Primary'),
('7184 Oak Road', '6551792639', '2001-7-22', '2024-4-14', 'Primary'),
('2596 Pine Street', '6448305928', '2009-5-26', '2024-4-14', 'Primary'),
('9510 Spruce Street', '2542438323', '1981-5-8', '2024-4-14', 'Primary'),
('1014 Elm Lane', '6448305928', '1998-3-10', '2024-4-14', 'Primary'),
('9510 Spruce Street', '6448305928', '2017-6-23', '2021-10-22', 'Secondary'),
('7184 Oak Road', '1399950792', '2018-5-20', '2018-7-6', 'Secondary'),
('2982 Hickory Way', '0752608338', '2017-1-12', '2018-9-11', 'Secondary'),
('7184 Oak Road', '6551792639', '2015-6-5', '2018-2-18', 'Secondary'),
('9510 Spruce Street', '0495273192', '2021-3-24', '2021-10-19', 'Secondary'),
('7184 Oak Road', '6742080296', '2021-3-7', '2021-10-2', 'Secondary'),
('7184 Oak Road', '4973618859', '2018-11-13', '2019-8-16', 'Secondary'),
('2596 Pine Street', '9739198860', '2016-4-9', '2016-4-19', 'Secondary'),
('2596 Pine Street', '9986957492', '2021-7-1', '2023-4-14', 'Secondary'),
('2982 Hickory Way', '1005661821', '2016-10-20', '2020-9-24', 'Secondary'),
('9510 Spruce Street', '1140928836', '2022-10-4', '2022-11-8', 'Secondary'),
('9510 Spruce Street', '2542438323', '2020-9-1', '2021-1-27', 'Secondary'),
('7184 Oak Road', '4601734873', '2023-8-21', '2023-11-11', 'Secondary'),
('7184 Oak Road', '4143564031', '2020-10-10', '2021-6-24', 'Secondary'),
('9510 Spruce Street', '4601734873', '2017-5-25', '2018-1-3', 'Secondary'),
('2982 Hickory Way', '1005661821', '2018-10-17', '2021-5-24', 'Secondary'),
('2596 Pine Street', '4973618859', '2017-2-13', '2020-3-13', 'Secondary'),
('7184 Oak Road', '6551792639', '2016-10-24', '2023-10-10', 'Secondary'),
('2596 Pine Street', '0305860333', '2018-10-4', '2019-9-5', 'Secondary'),
('2596 Pine Street', '6551792639', '2022-6-18', '2023-6-19', 'Secondary'),
('9510 Spruce Street', '4401815434', '2015-2-27', '2017-6-3', 'Secondary'),
('9510 Spruce Street', '4407806256', '2022-11-19', '2023-10-6', 'Secondary'),
('2596 Pine Street', '8135485860', '2021-2-17', '2022-1-26', 'Secondary'),
('2982 Hickory Way', '9790073621', '2021-3-21', '2021-11-6', 'Secondary'),
('9510 Spruce Street', '4407806256', '2016-2-11', '2018-8-7', 'Secondary'),
('2982 Hickory Way', '4601734873', '2020-3-21', '2021-2-13', 'Secondary'),
('7184 Oak Road', '8135485860', '2021-10-10', '2022-3-14', 'Secondary'),
('2982 Hickory Way', '9790073621', '2019-9-6', '2020-9-15', 'Secondary'),
('2596 Pine Street', '8135485860', '2017-3-7', '2020-6-23', 'Secondary'),
('2982 Hickory Way', '9084091931', '2016-3-15', '2020-10-25', 'Secondary'),
('9510 Spruce Street', '9892783955', '2019-2-3', '2022-7-14', 'Secondary'),
('7184 Oak Road', '8510958104', '2016-1-15', '2021-9-5', 'Secondary'),
('9510 Spruce Street', '6448305928', '2019-11-26', '2022-11-20', 'Secondary'),
('2596 Pine Street', '3257632350', '2015-10-1', '2021-8-24', 'Secondary'),
('7184 Oak Road', '4973618859', '2023-11-15', '2023-11-27', 'Secondary'),
('9510 Spruce Street', '2800336628', '2021-8-27', '2021-11-23', 'Secondary'),
('9510 Spruce Street', '8668288828', '2022-10-11', '2023-5-8', 'Secondary'),
('7184 Oak Road', '3257632350', '2022-10-16', '2023-9-24', 'Secondary'),
('2982 Hickory Way', '9084091931', '2015-9-9', '2016-3-10', 'Secondary'),
('7184 Oak Road', '6077174415', '2022-8-23', '2023-1-14', 'Secondary'),
('7184 Oak Road', '1140928836', '2015-9-19', '2023-9-21', 'Secondary'),
('9510 Spruce Street', '4407806256', '2016-4-19', '2022-10-13', 'Secondary'),
('9510 Spruce Street', '9986957492', '2016-4-10', '2023-3-12', 'Secondary'),
('7184 Oak Road', '4973618859', '2023-3-19', '2023-3-19', 'Secondary'),
('2982 Hickory Way', '2542438323', '2021-1-19', '2023-11-9', 'Secondary'),
('9510 Spruce Street', '4407806256', '2017-3-22', '2021-5-3', 'Secondary'),
('2982 Hickory Way', '0305860333', '2019-8-7', '2021-10-19', 'Secondary'),
('7184 Oak Road', '3705588122', '2020-11-21', '2021-9-13', 'Secondary'),
('2982 Hickory Way', '7713709791', '2023-5-23', '2023-6-27', 'Secondary'),
('2596 Pine Street', '9790073621', '2022-2-11', '2023-4-26', 'Secondary'),
('2596 Pine Street', '3705588122', '2021-5-20', '2023-8-26', 'Secondary'),
('9510 Spruce Street', '6813678933', '2021-4-18', '2023-7-18', 'Secondary'),
('7184 Oak Road', '4401815434', '2021-11-11', '2022-4-14', 'Secondary'),
('9510 Spruce Street', '6448305928', '2021-5-23', '2023-3-3', 'Secondary'),
('9510 Spruce Street', '8135485860', '2021-4-8', '2023-5-4', 'Secondary'),
('2596 Pine Street', '4973618859', '2023-11-24', '2023-11-27', 'Secondary'),
('7184 Oak Road', '2375141325', '2023-3-25', '2023-4-20', 'Secondary'),
('9510 Spruce Street', '9380761962', '2020-7-1', '2021-10-4', 'Secondary'),
('7184 Oak Road', '4407806256', '2016-1-20', '2022-3-27', 'Secondary'),
('7184 Oak Road', '8135485860', '2023-8-5', '2023-8-9', 'Secondary'),
('2982 Hickory Way', '8510958104', '2023-7-1', '2023-9-20', 'Secondary'),
('2982 Hickory Way', '8135485860', '2022-5-8', '2022-10-23', 'Secondary'),
('7184 Oak Road', '8510958104', '2020-7-21', '2022-2-12', 'Secondary'),
('2596 Pine Street', '8618173622', '2016-3-11', '2023-1-8', 'Secondary'),
('2596 Pine Street', '3603460854', '2018-4-9', '2023-1-15', 'Secondary'),
('7184 Oak Road', '4143564031', '2019-4-1', '2022-3-17', 'Secondary'),
('7184 Oak Road', '1399950792', '2022-4-13', '2023-2-20', 'Secondary'),
('7184 Oak Road', '4586029637', '2018-1-8', '2023-4-11', 'Secondary'),
('7184 Oak Road', '8135485860', '2017-3-2', '2017-11-12', 'Secondary'),
('9510 Spruce Street', '1399950792', '2018-10-23', '2023-11-8', 'Secondary'),
('2982 Hickory Way', '4973618859', '2018-6-18', '2018-8-10', 'Secondary'),
('2982 Hickory Way', '4973618859', '2020-9-8', '2022-1-11', 'Secondary'),
('9510 Spruce Street', '9790073621', '2020-4-2', '2022-4-1', 'Secondary'),
('2982 Hickory Way', '6241677759', '2020-5-2', '2020-7-25', 'Secondary'),
('9510 Spruce Street', '4586029637', '2023-11-4', '2023-11-26', 'Secondary');

